City_ID,City,Country,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Current Description
221,Swellendam,ZA,-34.0226,20.4417,58.06,74,38,2.51,scattered clouds
222,Souillac,MU,-20.5167,57.5167,71.98,88,20,2.3,few clouds
223,Gat,IL,31.61,34.7642,85.78,22,51,6.87,broken clouds
224,Salmon Creek,US,45.7107,-122.649,63.0,53,100,6.91,overcast clouds
225,Omboue,GA,-1.5746,9.2618,78.24,89,100,2.86,overcast clouds
226,Kolyshley,RU,52.7005,44.5367,46.62,87,95,2.84,overcast clouds
227,Ribeira Grande,PT,38.5167,-28.7,62.44,87,3,18.19,light rain
228,Port Lincoln,AU,-34.7333,135.8667,61.32,57,90,11.54,overcast clouds
229,Tuy Hoa,VN,13.0833,109.3,76.55,94,100,0.54,overcast clouds
230,Kiruna,SE,67.8557,20.2251,23.92,100,100,0.0,overcast clouds
231,Krasnovishersk,RU,60.4078,57.082,24.01,95,34,3.76,scattered clouds
232,Itarema,BR,-2.9248,-39.9167,77.65,88,100,8.21,overcast clouds
233,Price,US,39.5994,-110.8107,58.12,24,20,19.57,few clouds
234,Sorland,NO,67.667,12.6934,38.23,78,98,23.11,overcast clouds
235,Zhanakorgan,KZ,43.9098,67.2495,70.86,22,4,4.43,clear sky
236,Maningrida,AU,-12.0667,134.2667,76.8,85,54,7.76,broken clouds
237,Bauchi,NG,10.5,10.0,83.39,48,92,12.35,light rain
238,Mehran,IR,33.1222,46.1646,75.79,44,36,6.38,scattered clouds
239,Ilheus,BR,-14.7889,-39.0494,82.22,74,20,5.75,few clouds
240,Malindi,KE,-3.2175,40.1191,79.63,81,60,13.67,light rain
241,Saint-Pierre,RE,-21.3393,55.4781,75.9,78,0,4.61,clear sky
242,Awjilah,LY,29.1081,21.2869,68.45,51,33,13.51,scattered clouds
243,Nanortalik,GL,60.1432,-45.2371,38.44,85,95,4.56,overcast clouds
244,Chara,RU,56.9064,118.2631,26.92,63,95,1.16,overcast clouds
245,Cedar City,US,37.6775,-113.0619,60.4,18,0,14.97,clear sky
246,Lasa,IT,46.6166,10.7002,54.48,90,100,2.42,overcast clouds
247,Chuy,UY,-33.6971,-53.4616,53.73,73,40,5.95,scattered clouds
248,Raudeberg,NO,61.9875,5.1352,41.67,85,98,7.34,overcast clouds
