City_ID,City,Country,Date,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed
144,Puerto Suarez,BO,2022-04-25 20:27:29,-18.95,-57.8,93.76,58,75,11.5
145,Los Llanos De Aridane,ES,2022-04-25 20:24:22,28.6585,-17.9182,65.95,81,20,8.01
146,Luderitz,NA,2022-04-25 20:27:29,-26.6481,15.1594,59.4,56,0,15.75
147,Mokolo,CM,2022-04-25 20:27:30,10.7398,13.8019,85.71,37,100,3.76
148,Vardo,NO,2022-04-25 20:23:19,70.3705,31.1107,30.18,80,20,13.8
149,Salalah,OM,2022-04-25 20:27:30,17.0151,54.0924,82.49,74,0,2.3
150,Dingle,PH,2022-04-25 20:25:25,10.9995,122.6711,78.01,88,48,6.93
151,Lerwick,GB,2022-04-25 20:25:27,60.1545,-1.1494,44.6,79,76,16.08
152,Saint-Philippe,RE,2022-04-25 20:27:31,-21.3585,55.7679,73.22,80,87,15.7
153,Laguna,US,2022-04-25 20:27:31,38.421,-121.4238,80.78,31,65,4.0
154,Port Lincoln,AU,2022-04-25 20:23:54,-34.7333,135.8667,63.79,82,100,5.73
155,Ilulissat,GL,2022-04-25 20:27:32,69.2167,-51.1,28.45,89,100,1.68
156,Chumikan,RU,2022-04-25 20:27:32,54.7183,135.315,19.49,92,13,3.38
157,Alvaraes,BR,2022-04-25 20:27:32,-3.2208,-64.8042,94.87,69,74,3.74
158,Koupela,BF,2022-04-25 20:27:33,12.1794,-0.3517,94.82,8,100,6.64
159,Veinticinco De Diciembre,MX,2022-04-25 20:27:33,25.2602,-104.0519,90.66,10,0,1.66
160,Navirai,BR,2022-04-25 20:27:33,-23.065,-54.1906,83.95,58,18,7.45
161,Bintulu,MY,2022-04-25 20:27:34,3.1667,113.0333,75.61,94,20,0.0
162,Nanakuli,US,2022-04-25 20:27:34,21.3906,-158.1547,80.55,65,0,16.22
163,Mar Del Plata,AR,2022-04-25 20:23:29,-38.0023,-57.5575,62.62,72,0,12.66
164,College,US,2022-04-25 20:26:11,64.8569,-147.8028,47.21,46,75,0.0
165,Pemangkat,ID,2022-04-25 20:27:35,1.1667,108.9667,77.04,86,100,4.61
166,San Jose Del Guaviare,CO,2022-04-25 20:23:00,2.5729,-72.6459,82.62,74,97,4.07
167,Ahipara,NZ,2022-04-25 20:24:21,-35.1667,173.1667,60.76,82,25,6.62
168,Conde,BR,2022-04-25 20:27:36,-7.2597,-34.9075,80.06,83,75,10.36
169,Broome,US,2022-04-25 20:27:36,42.2506,-75.833,74.43,48,0,13.8
170,Maragogi,BR,2022-04-25 20:27:05,-9.0122,-35.2225,79.18,74,97,10.25
171,Carnarvon,AU,2022-04-25 20:23:10,-24.8667,113.6333,71.67,78,0,6.91
172,Burnie,AU,2022-04-25 20:27:37,-41.0667,145.9167,56.95,1,95,7.11
173,Hamilton,US,2022-04-25 20:27:33,39.1834,-84.5333,66.88,89,75,14.97
174,Suzun,RU,2022-04-25 20:27:37,53.7841,82.3116,38.08,69,17,1.68
175,Geraldton,AU,2022-04-25 20:23:03,-28.7667,114.6,68.41,68,100,16.11
176,Wairoa,NZ,2022-04-25 20:27:37,-39.0333,177.3667,46.54,99,14,5.01
177,Nogliki,RU,2022-04-25 20:27:38,51.8333,143.1667,15.42,93,42,6.73
178,Mamou,GN,2022-04-25 20:27:38,10.5,-12.0,83.5,18,5,3.11
179,Sao Joao Da Barra,BR,2022-04-25 20:28:39,-21.6403,-41.0511,78.89,75,5,9.08
180,Tarko-Sale,RU,2022-04-25 20:28:39,64.9225,77.785,9.73,94,29,8.95
181,Valley City,US,2022-04-25 20:28:39,46.9233,-98.0032,32.02,66,100,16.73
182,Aksarka,RU,2022-04-25 20:28:40,66.5606,67.7975,24.21,97,86,7.76
183,Tarabuco,BO,2022-04-25 20:28:40,-19.1667,-64.9167,66.63,22,34,4.81
184,Sitka,US,2022-04-25 20:28:40,57.0531,-135.33,46.29,76,75,4.61
185,Quemado De Guines,CU,2022-04-25 20:28:41,22.7853,-80.2536,84.42,47,20,17.43
186,Stornoway,GB,2022-04-25 20:28:41,58.2093,-6.3865,46.92,84,100,13.8
